date,datatype,station,attributes,value
2018-01-05T00:00:00,ASLP,GHCND:USW00013781,",,W,",10166.0
2018-01-05T00:00:00,ASTP,GHCND:USW00013781,",,W,",10119.0
2018-01-05T00:00:00,AWBT,GHCND:USW00013781,",,W,",-122.0
2018-01-05T00:00:00,AWND,GHCND:USW00013781,",,W,",95.0
2018-01-05T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-05T00:00:00,RHAV,GHCND:USW00013781,",,W,",47.0
2018-01-05T00:00:00,RHMN,GHCND:USW00013781,",,W,",41.0
2018-01-05T00:00:00,RHMX,GHCND:USW00013781,",,W,",55.0
2018-01-05T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-05T00:00:00,SNWD,GHCND:USW00013781,",,W,",50.0
2018-01-05T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",-82.0
2018-01-05T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-121.0
2018-01-05T00:00:00,WDF2,GHCND:USW00013781,",,W,",290.0
2018-01-05T00:00:00,WDF5,GHCND:USW00013781,",,W,",290.0
2018-01-05T00:00:00,WESD,GHCND:USW00013781,",,7,",25.0
2018-01-05T00:00:00,WSF2,GHCND:USW00013781,",,W,",148.0
2018-01-05T00:00:00,WSF5,GHCND:USW00013781,",,W,",206.0
2018-01-06T00:00:00,ADPT,GHCND:USW00013781,",,W,",-200.0
2018-01-06T00:00:00,ASLP,GHCND:USW00013781,",,W,",10288.0
2018-01-06T00:00:00,ASTP,GHCND:USW00013781,",,W,",10240.0
2018-01-06T00:00:00,AWBT,GHCND:USW00013781,",,W,",-133.0
2018-01-06T00:00:00,AWND,GHCND:USW00013781,",,W,",72.0
2018-01-06T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-06T00:00:00,RHAV,GHCND:USW00013781,",,W,",48.0
2018-01-06T00:00:00,RHMN,GHCND:USW00013781,",,W,",42.0
2018-01-06T00:00:00,RHMX,GHCND:USW00013781,",,W,",53.0
2018-01-06T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-06T00:00:00,SNWD,GHCND:USW00013781,",,W,",50.0
2018-01-06T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",-88.0
2018-01-06T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-138.0
2018-01-06T00:00:00,WDF2,GHCND:USW00013781,",,W,",300.0
2018-01-06T00:00:00,WDF5,GHCND:USW00013781,",,W,",290.0
2018-01-06T00:00:00,WESD,GHCND:USW00013781,",,7,",76.0
2018-01-06T00:00:00,WSF2,GHCND:USW00013781,",,W,",134.0
2018-01-06T00:00:00,WSF5,GHCND:USW00013781,",,W,",183.0
2018-01-07T00:00:00,ADPT,GHCND:USW00013781,",,W,",-183.0
2018-01-07T00:00:00,ASLP,GHCND:USW00013781,",,W,",10352.0
2018-01-07T00:00:00,ASTP,GHCND:USW00013781,",,W,",10322.0
2018-01-07T00:00:00,AWBT,GHCND:USW00013781,",,W,",-128.0
2018-01-07T00:00:00,AWND,GHCND:USW00013781,",,W,",30.0
2018-01-07T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-07T00:00:00,RHAV,GHCND:USW00013781,",,W,",54.0
2018-01-07T00:00:00,RHMN,GHCND:USW00013781,",,W,",39.0
2018-01-07T00:00:00,RHMX,GHCND:USW00013781,",,W,",69.0
2018-01-07T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-07T00:00:00,SNWD,GHCND:USW00013781,",,W,",50.0
2018-01-07T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",-71.0
2018-01-07T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-166.0
2018-01-07T00:00:00,WDF2,GHCND:USW00013781,",,W,",320.0
2018-01-07T00:00:00,WDF5,GHCND:USW00013781,",,W,",320.0
2018-01-07T00:00:00,WSF2,GHCND:USW00013781,",,W,",67.0
2018-01-07T00:00:00,WSF5,GHCND:USW00013781,",,W,",89.0
2018-01-08T00:00:00,ADPT,GHCND:USW00013781,",,W,",-89.0
2018-01-08T00:00:00,ASLP,GHCND:USW00013781,",,W,",10234.0
2018-01-08T00:00:00,ASTP,GHCND:USW00013781,",,W,",10213.0
2018-01-08T00:00:00,AWBT,GHCND:USW00013781,",,W,",-56.0
2018-01-08T00:00:00,AWND,GHCND:USW00013781,",,W,",33.0
2018-01-08T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",18.0
2018-01-08T00:00:00,RHAV,GHCND:USW00013781,",,W,",69.0
2018-01-08T00:00:00,RHMN,GHCND:USW00013781,",,W,",49.0
2018-01-08T00:00:00,RHMX,GHCND:USW00013781,",,W,",96.0
2018-01-08T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-08T00:00:00,SNWD,GHCND:USW00013781,",,W,",30.0
2018-01-08T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",6.0
2018-01-08T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-105.0
2018-01-08T00:00:00,WDF2,GHCND:USW00013781,",,W,",210.0
2018-01-08T00:00:00,WDF5,GHCND:USW00013781,",,W,",220.0
2018-01-08T00:00:00,WSF2,GHCND:USW00013781,",,W,",76.0
2018-01-08T00:00:00,WSF5,GHCND:USW00013781,",,W,",98.0
2018-01-08T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-08T00:00:00,WT06,GHCND:USW00013781,",,W,",1.0
2018-01-09T00:00:00,ADPT,GHCND:USW00013781,",,W,",-28.0
2018-01-09T00:00:00,ASLP,GHCND:USW00013781,",,W,",10240.0
2018-01-09T00:00:00,ASTP,GHCND:USW00013781,",,W,",10196.0
2018-01-09T00:00:00,AWBT,GHCND:USW00013781,",,W,",0.0
2018-01-09T00:00:00,AWND,GHCND:USW00013781,",,W,",26.0
2018-01-09T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-09T00:00:00,RHAV,GHCND:USW00013781,",,W,",78.0
